Estimators,RMSE_SR,RMSE_MRR
1,1.7445881240881416,33.49452728256703
2,1.304265166548968,25.20557112124021
3,0.9244973898733133,25.951893183473114
4,0.9436926538918374,27.219166358426676
5,0.8307060063229545,24.667806260587813
6,0.7746438854616327,23.090775016371182
7,0.7634823726772448,24.19744030405781
8,0.7398015337203682,23.65888751903824
9,0.7675002814546182,23.316621908022366
10,0.7838557977152174,21.910707188106468
11,0.7709450598678085,20.40866571920587
12,0.7712591164877304,20.750856607087197
13,0.7631519145800326,20.597124220026878
14,0.777738924683474,20.056338977036525
15,0.7888923533277276,20.32999075923631
16,0.7566474772941286,20.14003093381455
17,0.7427142958626319,20.34356751652462
18,0.7198605159110258,19.90918412180761
19,0.7042246271934584,19.022221789920405
20,0.7044982167821271,18.708427371525712
